,name,pri,casrn,class,mw,use
0,,20370,Not Listed,Not Listed,Not Listed,Not Listed
1,,20384,,,Not Listed,Not Listed
2,,20526,Not Listed,Not Listed,Not Listed,Not Listed
3,,20892,,,Not Listed,Not Listed
4,,21325,,,Not Listed,Not Listed
5,,21395,Not Listed,Not Listed,Not Listed,Not Listed
6,,21897,,Not Listed,Not Listed,
7,,22200,,,Not Listed,Not Listed
8,,22726,Not Listed,Not Listed,Not Listed,Not Listed
9,,22934,Not Listed,Not Listed,Not Listed,Not Listed
10,,23454,,Not Listed,Not Listed,
11,,23455,,Not Listed,Not Listed,
12,,23654,,,Not Listed,Not Listed
13,,24614,Not Listed,Not Listed,Not Listed,Not Listed
14,,24710,Not Listed,Not Listed,Not Listed,Not Listed
15,,26184,,Not Listed,Not Listed,
16,,26877,,,Not Listed,Not Listed
17,,26883,Not Listed,Not Listed,Not Listed,Not Listed
18,,27348,Not Listed,Not Listed,Not Listed,Not Listed
19,,27823,Not Listed,Not Listed,Not Listed,Not Listed
20,,28122,Not Listed,Not Listed,Not Listed,Not Listed
21,,28140,Not Listed,Not Listed,Not Listed,Not Listed
22,Guanidine monohydrochloride,28244,50-01-1,Not Listed,0,Not Listed
23,"9-Fluoro-11,17,21-trihydroxy-16-methyl-11beta,16alpha-pregna-4-ene-3,20-dione",28245,50-02-2,Not Listed,0,Not Listed
24,"(11beta)-21-Acetyloxy)-11,17-dihydroxypregn-4-ene-3,20-dione",28246,50-03-3,Not Listed,0,Not Listed
25,"21-(Acetyloxy)-17-hydroxypregn-4-ene-3,11,20-trione",28247,50-04-4,Not Listed,0,Not Listed
26,Mitomycin C,28248,50-07-7,Not Listed,0,Drug
27,"5-(1-Cyclohexen-1-yl)-1,5-dimethyl-2,4,6(1H,3H,5H)-pyrimidinetrione, Sodium salt",28249,50-09-9,Not Listed,0,Not Listed
28,Cyclophosphamide (anhydrous),28250,50-18-0,Not Listed,0,Drug
29,"(11 beta)-11,21-Dihydroxypregn-4-ene-3,20-dione",28251,50-22-6,Not Listed,0,Not Listed
30,"(16 alpha, 17 beta)-Estra-1,3,5(10)-triene-3,16,17-triol",28252,50-27-1,Not Listed,0,Not Listed
31,Estradiol,28253,50-28-2,Estrogen,0,Drug
32,"2,6-Dichlorobenzoic acid",28254,"50-30-6, 50-30-5",Not Listed,190,Not Listed
33,Benzo(a)pyrene,28255,50-32-8,Not Listed,0,Combustion byproduct
34,Phenylbutazone,28256,50-33-9,Not Listed,0,Not Listed
35,"(8 beta)-9,10-Didehydro-N,N-diethyl-6-methylergoline-8-carboxamide",28258,50-37-3,Not Listed,0,Not Listed
36,"2,4,6-Trichlorobenzoic acid",28259,50-43-1,Benzoic acid,0,Not Listed
37,6-Mercaptopurine,28260,50-44-2,Not Listed,0,Not Listed
38,"2,3-Dichlorobenzoic acid",28261,50-45-3,Not Listed,0,Not Listed
39,"3-(10,11-Dihydro-5H-dibenzo[a,d]cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine",28262,50-48-6,Not Listed,0,Not Listed
40,"(17B)-Estra-1,3,5(10)-triene-3,17-diol-3-benzoate",28263,50-50-0,Not Listed,0,Not Listed
41,"2-Chloro-N,N-dimethyl-10H-phenothiazine-10-propanamine",28264,50-53-3,Not Listed,0,Not Listed
42,"N4-(7-Chloro-4-quinolinyl)-N',N'-diethyl-1,4-pentanediamine, Phosphate (1:2)",28265,50-63-5,Not Listed,0,Not Listed
43,6-Methylmercaptopurine,28266,50-66-8,Not Listed,0,Not Listed
44,3-(2-Aminoethyl)-1H-indol-5-ol,28267,50-67-9,Not Listed,0,Not Listed
45,Alloxan,28268,50-71-5,Not Listed,0,Not Listed
46,"2,3,5-Trichlorobenzoic acid",28269,50-73-7,Benzoic acid,0,Not Listed
47,"2,3,4-Trichlorobenzoic acid",28270,50-75-9,Benzoic acid,0,Not Listed
48,"2,4,5-Trichlorobenzoic acid",28272,50-82-8,Benzoic acid,0,Not Listed
49,Thymidine,28273,50-89-5,Not Listed,0,Not Listed
50,2'-Deoxy-5-fluorouridine,28274,50-91-9,Not Listed,0,Not Listed
51,2-[(Hydroxyimino)methyl]-1-methylpyridinium chloride,28275,51-15-0,Not Listed,0,Not Listed
52,Benzimidazole,28276,51-17-2,Not Listed,0,Not Listed
53,Triethylenemelamine,28277,51-18-3,Not Listed,0,Not Listed
54,"5-Bromo-2,4(1H,3H)-pyrimidinedione",28278,51-20-7,Not Listed,0,Not Listed
55,Fluorouracil,28279,51-21-8,Not Listed,0,Drug
56,trans-4-Hydroxy-L-proline,28280,51-35-4,Not Listed,0,Not Listed
57,"3,4,5-Trichlorobenzoic acid",28281,51-39-8,Benzoic acid,0,Not Listed
58,Norepinephrine,28282,51-41-2,Not Listed,0,Not Listed
59,Epinephrine,28283,51-43-4,Not Listed,0,Not Listed
60,"3,4-Dichlorobenzoic acid",28284,51-44-5,Not Listed,0,Not Listed
61,1H-Imidazole-4-ethanamine,28285,51-45-6,Not Listed,0,Not Listed
62,"O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine",28286,51-48-9,Not Listed,0,Not Listed
63,Propylthiouracil,28287,51-52-5,Not Listed,0,Drug
